S.No.,Acc.No.,Title,Author,Publiser/Year,Bill No,Date,Titles,Vol,Branch,Cost,Remarks,Publisher/Year
,20,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,21,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,22,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,23,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,24,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,25,Engineering Graphics,"Lakshminaryanan, V.",": JAIN, 1998",3935,18-09-1998,T,4.0,B.Tech,110,,
,26,Engineering Graphics,"Lakshminaryanan, V.",": JAIN, 1998",3935,18-09-1998,,,,110,,
,27,Engineering Graphics,"Lakshminaryanan, V.",": JAIN, 1998",3935,18-09-1998,,,,110,,
,28,Engineering Graphics,"Lakshminaryanan, V.",": JAIN, 1998",3935,18-09-1998,,,,110,,
,29,Applied Mathematics,"Sharma, R.D.",": DPR, 1998",3934,18-09-1998,T,4.0,B.Tech,120,,
,30,Applied Mathematics,"Sharma, R.D.",": DPR, 1998",3934,18-09-1998,,,,120,,
,31,Applied Mathematics,"Sharma, R.D.",": DPR, 1998",3934,18-09-1998,,,,120,,
,32,Applied Mathematics,"Sharma, R.D.",": DPR, 1998",3934,18-09-1998,,,,120,,
,33,Introduction to analytic number theory,"Apostol, Tom M.",": NAROSA, 1998",3934,18-09-1998,T,4.0,B.Tech,120,,
,34,Introduction to analytic number theory,"Apostol, Tom M.",": NAROSA, 1998",3934,18-09-1998,,,,120,,
,35,Introduction to analytic number theory,"Apostol, Tom M.",": NAROSA, 1998",3934,18-09-1998,,,,120,,
,36,Introduction to analytic number theory,"Apostol, Tom M.",": NAROSA, 1998",3934,18-09-1998,,,,120,,
,37,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,T,10.0,B.Tech,100,,
,38,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,39,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,40,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,41,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,42,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,43,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,44,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,45,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,46,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,47,Control System Analysis and Design,Aggrawal,": KHANNA, 1998",3932,19-09-1998,T,4.0,B.Tech,85,,
,48,Control System Analysis and Design,Aggrawal,": KHANNA, 1998",3932,19-09-1998,,,,85,,
,49,Control System Analysis and Design,Aggrawal,": KHANNA, 1998",3932,19-09-1998,,,,85,,
,50,Control System Analysis and Design,Aggrawal,": KHANNA, 1998",3932,19-09-1998,,,,85,,
,51,Theory of ordingary differential equations,"Coddington, Earl A.",": TMH, 1998",3934,18-09-1998,T,4.0,B.Tech,150,,
,52,Theory of ordingary differential equations,"Coddington, Earl A.",": TMH, 1998",3934,18-09-1998,,,,150,,
,53,Theory of ordingary differential equations,"Coddington, Earl A.",": TMH, 1998",3934,18-09-1998,,,,150,,
,54,Theory of ordingary differential equations,"Coddington, Earl A.",": TMH, 1998",3934,18-09-1998,,,,150,,
,55,Integrated approach to Software engineering,Jalote,": NAROSA, 1998",3930,18-09-1998,T,4.0,B.Tech,150,,
,56,Integrated approach to Software engineering,Jalote,": NAROSA, 1998",3930,18-09-1998,,,,150,,
,57,Integrated approach to Software engineering,Jalote,": NAROSA, 1998",3930,18-09-1998,,,,150,,
,58,Integrated approach to Software engineering,Jalote,": NAROSA, 1998",3930,18-09-1998,,,,150,,
,59,Lisp Programming,"Sanghal, Rajeev",": TMH, 1998",3930,18-09-1998,T,24.0,B.Tech,165,,
,60,Lisp Programming,"Sanghal, Rajeev",": TMH, 1998",3930,18-09-1998,,,,150,,
,61,Lisp Programming,"Sanghal, Rajeev",": TMH, 1998",3930,18-09-1998,,,,150,,
,62,Lisp Programming,"Sanghal, Rajeev",": TMH, 1998",3930,18-09-1998,,,,150,,
,63,Datastructures through C,"Kanetkar, Yashvant",": BPB, 1998",3930,18-09-1998,,,,150,,
,64,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,65,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,66,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,67,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,68,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,69,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,70,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,71,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,72,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,73,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,74,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,75,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,76,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,77,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,78,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,79,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,80,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,81,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,82,Lisp Programming,"Sanghal, Rajeev",": BPB, 1998",3930,18-09-1998,,,,150,,
,83,Structured Computer orgnization,"Tanenbaum, Andrew",": PRENTICE, 1998",3930,18-09-1998,T,4.0,B.Tech,150,,
,84,Structured Computer orgnization,"Tanenbaum, Andrew",": PRENTICE, 1998",3930,18-09-1998,,,,150,,
,85,Structured Computer orgnization,"Tanenbaum, Andrew",": PRENTICE, 1998",3930,18-09-1998,,,,150,,
,86,Structured Computer orgnization,"Tanenbaum, Andrew",": PRENTICE, 1998",3930,18-09-1998,,,,150,,
,87,"Pulse, Digital and Switch Waveforms","Millman, Jacob",": TMH, 1998",3932,18-09-1998,T,4.0,B.Tech,240,,
,88,"Pulse, Digital and Switch Waveforms","Millman, Jacob",": TMH, 1998",3932,18-09-1998,,,,240,,
,89,"Pulse, Digital and Switch Waveforms","Millman, Jacob",": TMH, 1998",3932,18-09-1998,,,,240,,
,90,"Pulse, Digital and Switch Waveforms","Millman, Jacob",": TMH, 1998",3932,18-09-1998,,,,240,,
,91,Introduction to data structures and algorithms wit,"Rowe, Glenn W.",": PRENTICE, 1998",3930,18-09-1998,T,4.0,B.Tech,95,,
,92,Introduction to data structures and algorithms wit,"Rowe, Glenn W.",": PRENTICE, 1998",3930,18-09-1998,,,,95,,
,93,Introduction to data structures and algorithms wit,"Rowe, Glenn W.",": PRENTICE, 1998",3930,18-09-1998,,,,95,,
,94,Introduction to data structures and algorithms wit,"Rowe, Glenn W.",": PRENTICE, 1998",3930,18-09-1998,,,,95,,
,95,Operating Systems,"Stallings, William",": PREN, 1998",3930,18-09-1998,T,3.0,B.Tech,250,,
,96,Operating Systems,"Stallings, William",": PREN, 1998",3930,18-09-1998,,,,250,,
,97,Operating Systems,"Stallings, William",": PREN, 1998",3930,18-09-1998,,,,250,,
,98,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,T,9.0,B.Tech,100,,
,99,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,100,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,101,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,102,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,103,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,104,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,105,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,106,Elementary Engineering drawing,"Bhatt, N.D.",": CHAR, 1998",3931,18-09-1998,,,,100,,
,107,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,T,7.0,B.Tech,395,,
,108,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,,,,395,,
,109,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,,,,395,,
,110,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,,,,395,,
,111,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,,,,395,,
,112,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,,,,395,,
,113,Engineering Mechanics,"Shames, Irving H",": PRENTICE, 1998",3931,18-09-1998,,,,395,,
,114,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,T,13.0,B.Tech,269,,
,115,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,116,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,117,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,118,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,119,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,120,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,121,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,122,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,123,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,124,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,125,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,126,Introduction to programming and problem solving wi,"Schneider, Michael G.",": JOHN, 1998",3931,18-09-1998,,,,269,,
,127,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,T,20.0,B.Tech,33.25,,
,128,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,129,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,130,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,131,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,132,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,133,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,134,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,135,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,136,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,137,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,138,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,139,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,140,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,141,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,142,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,143,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,144,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,145,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,146,Selected prose for degree classes,"Menon, K.P.K.",": MACMIL, 1998",3931,18-09-1998,,,,33.25,,
,147,Fundamentals of algorithms,"Brassard, Giles",": PHI, 1998",3930,18-09-1998,T,3.0,B.Tech,225,,
,148,Fundamentals of algorithms,"Brassard, Giles",": PHI, 1998",3930,18-09-1998,,,,225,,
,149,Fundamentals of algorithms,"Brassard, Giles",": PRENTICE, 1998",3930,18-09-1998,T,7.0,B.Tech,195,,
,150,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,151,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,152,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,153,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,154,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,155,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,156,Internet working with TCP/IP,"Comer, Douglas E.",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,157,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,T,20.0,B.Tech,60,,
,158,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,159,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,160,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,161,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,162,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,163,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,164,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,165,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,166,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,167,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,168,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,169,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,170,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,171,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,172,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,173,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,174,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,175,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,176,Higher Algebra,"Hall, H.S.",": AITBS, 1998",3931,18-09-1998,,,,60,,
,177,Computer Programming in Basic,"Grover, P.S.",": ALLIE., 1998",3930,18-09-1998,T,3.0,B.Tech,80,,
,178,Computer Programming in Basic,"Grover, P.S.",": ALLIE., 1998",3930,18-09-1998,,,,80,,
,179,Computer Programming in Basic,"Grover, P.S.",": ALLIE., 1998",3930,18-09-1998,,,,80,,
,180,Fuzzy - Neural control,"Nie, Junhong",": PRENTICE, 1998",3930,18-09-1998,T,4.0,B.Tech,125,,
,181,Fuzzy - Neural control,"Nie, Junhong",": PRENTICE, 1998",3930,18-09-1998,,,,125,,
,182,Fuzzy - Neural control,"Nie, Junhong",": PRENTICE, 1998",3930,18-09-1998,,,,125,,
,183,Fuzzy - Neural control,"Nie, Junhong",": PRENTICE, 1998",3930,18-09-1998,,,,125,,
,184,Peter Norton's DOS guide,"Norton, Peter",": PRENTICE, 1998",3930,18-09-1998,T,4.0,B.Tech,195,,
,185,Peter Norton's DOS guide,"Norton, Peter",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,186,Peter Norton's DOS guide,"Norton, Peter",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,187,Peter Norton's DOS guide,"Norton, Peter",": PRENTICE, 1998",3930,18-09-1998,,,,195,,
,188,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,T,20.0,B.Tech,210,,
,189,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,190,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,191,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,192,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,193,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,194,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,195,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,196,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,197,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,198,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,199,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,200,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,201,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,202,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,203,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,204,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,205,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,206,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,207,Physics for Engineers,"Srinivasan, MR",": NEWAGE, 1998",3931,18-09-1998,,,,210,,
,208,PC Software made simple,"Taxali, R.K.",": TMH, 1998",3930,18-09-1998,T,4.0,B.Tech,210,,
,209,PC Software made simple,"Taxali, R.K.",": TMH, 1998",3930,18-09-1998,,,,210,,
,210,PC Software made simple,"Taxali, R.K.",": TMH, 1998",3930,18-09-1998,,,,210,,
,211,PC Software made simple,"Taxali, R.K.",": TMH, 1998",3930,18-09-1998,,,,210,,
,212,Operating Systems,"Godbole, A.S.",": TMH, 1998",3930,18-09-1998,T,4.0,B.Tech,210,,
,213,Operating Systems,"Godbole, A.S.",": TMH, 1998",3930,18-09-1998,,,,,,
,214,Operating Systems,"Godbole, A.S.",": TMH, 1998",3930,18-09-1998,,,,,,
,215,Operating Systems,"Godbole, A.S.",": TMH, 1998",3930,18-09-1998,,,,,,
,216,Programming in PROLOG,"Clocksin, W.F.",": NAROSA, 1998",3930,18-09-1998,T,4.0,B.Tech,160,,
,217,Programming in PROLOG,"Clocksin, W.F.",": NAROSA, 1998",3930,18-09-1998,,,,,,
,218,Programming in PROLOG,"Clocksin, W.F.",": NAROSA, 1998",3930,18-09-1998,,,,,,
,219,Programming in PROLOG,"Clocksin, W.F.",": NAROSA, 1998",3930,18-09-1998,,,,,,
,220,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,T,20.0,B.Tech,100,,
,221,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,222,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,223,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,224,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,225,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,226,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,227,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,228,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,229,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,230,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,231,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,232,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,233,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,234,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,235,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,236,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,237,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,238,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,239,computer oriented numarical Methads,"Rajaraman, V",": PRENTICE, 1998",3931,18-09-1998,,,,100,,
,240,Principle Of Interactive Computer Graphics,Newman Williamm,": TMH, 1998",3931,18-09-1998,T,3.0,B.Tech,280,,
,241,Principle Of Interactive Computer Graphics,Newman Williamm,": TMH, 1998",3931,18-09-1998,,,,280,,
,242,Principle Of Interactive Computer Graphics,Newman Williamm,": TMH, 1998",3931,18-09-1998,,,,280,,
,243,Principle Of Interactive Computer Graphics,Newman Williamm,": TMH, 1998",3931,18-09-1998,,,,280,,
,244,Network Analysis,Van Valkenburg,": PRENTICE, 1998",3932,10-091998,T,4.0,B.Tech,150,,
,245,Network Analysis,Van Valkenburg,": PRENTICE, 1998",3932,10-091998,,,,150,,
,246,Network Analysis,Van Valkenburg,": PRENTICE, 1998",3932,10-091998,,,,150,,
,247,Network Analysis,Van Valkenburg,": PRENTICE, 1998",3932,10-091998,,,,150,,
,248,"Networks, Filters and transmission lines","Jain, P.K.",": TMH, 1998",3932,10-091998,T,4.0,B.Tech,150,,
,249,"Networks, Filters and transmission lines","Jain, P.K.",": TMH, 1998",3932,10-091998,,,,150,,
,250,"Networks, Filters and transmission lines","Jain, P.K.",": TMH, 1998",3932,10-091998,,,,150,,
,251,"Networks, Filters and transmission lines","Jain, P.K.",": TMH, 1998",3932,10-091998,,,,150,,
,252,Computers and Commonsense,"Hunt, Roger",": PRENTICE, 1998",3931,18-09-1998,T,20.0,B.Tech,49,,
,253,Computers and Commonsense,"Hunt, Roger",": PRENTICE, 1998",3931,18-09-1998,,,,49,,
,254,Computers and Commonsense,"Hunt, Roger",": PRENTICE, 1998",3931,18-09-1998,,,,49,,
,255,Computers and Commonsense,"Hunt, Roger",": PRENTICE, 1998",3931,18-09-1998,,,,49,,
,256,Computers and Commonsense,"Hunt, Roger",": PRENTICE, 1998",3931,18-09-1998,,,,49,,
,257,Computers and Commonsense,"Hunt, Roger",": PRENTICE, 1998",3931,18-09-1998,,,,49,,
